,id,title_of_program,provider,category
215,228,Анализ данных на основе машинного обучения, ФГБОУ ВО «Башкирский государственный университет» ,ML
337,363,Введение в машинное обучение,"Образовательная автономная некоммерческая организация дополнительного профессионального образования ""Высшая школа информационных технологий и безопасности"" (ОАНО ДПО «Выштех»)",ML
223,236,«Практический анализ данных»,Общество с ограниченной ответственностью «Юниум»,ML
154,162,Основы анализа данных и машинного обучения  ,федеральное государственное бюджетное образовательное учреждение высшего образования «Оренбургский государственный университет» ,ML
84,89, Методы искусственного интеллекта в кибербезопасности  ,   Университет ИТМО      ,ML
99,105,Создание виртуальной реальности в среде ,ООО «СитиМедиа»,AR/VR
44,47,  Основы виртуальной реальности в Unreal Engine  ,    Приамурский государственный университет имени Шолом-Алейхема         ,AR/VR
335,361,3D-моделирование и подготовка производства ,ФГБОУ ВО «Вологодский государственный университет  ,AR/VR
40,43,"Нейротехнологии, виртуальная и дополненная реальность",Государственное бюджетное образовательное учреждение высшего образования «Нижегородский государственный инженерно-экономический университет»,AR/VR
351,378, 3D моделирование в проектировании и строительстве зданий и сооружений: сопровождение проектных решений с помощью технологий виртуальной и дополненной реальности.    , Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых» (ВлГУ),AR/VR
109,117, Программирование глубоких нейронных сетей на Python    ,  ФГАОУ ВО «УрФУ имени первого Президента России Б.Н. Ельцина»       ,аналитик данных
329,354,ОСНОВЫ ОБРАБОТКИ БОЛЬШИХ ДАННЫХ В MS EXCEL,ФГАОУ ВО «Северо-Кавказский федеральный университет»,аналитик данных
123,131,Основы программирования и анализа данных на Python,Автономная некоммерческая организация инновационного развития образования и науки «ФИРОН»,аналитик данных
221,234,Python для анализа данных,Университет «Синергия»,аналитик данных
327,351," Искусственный интеллект и нейротехнологии  для ""чайников""   ",Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный технический университет» (ДГТУ),аналитик данных
278,293,Распределенные и облачные вычисления,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский государственный инженерно-экономический университет»,Специалист по обласным вычислениям и распределенным системам
268,283,Распределенные и облачные вычисления,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский государственный инженерно-экономический университет»,Специалист по обласным вычислениям и распределенным системам
221,234,Python для анализа данных,Университет «Синергия»,Специалист по обласным вычислениям и распределенным системам
123,131,Основы программирования и анализа данных на Python,Автономная некоммерческая организация инновационного развития образования и науки «ФИРОН»,Специалист по обласным вычислениям и распределенным системам
255,269,ВВЕДЕНИЕ В ТЕХНОЛОГИИ ОБЛАЧНЫХ ВЫЧИСЛЕНИЙ,Северо-Кавказский федеральный университет ,Специалист по обласным вычислениям и распределенным системам
133,141,Разработка мобильных приложений,"ФГБОУ ВО ""Тульский государственный университет""",геймдизайнер
116,124,Разработка приложений для мобильных устройств,Федеральное государственное бюджетное образовательное учреждение высшего образования «Пензенский государственный технологический университет»      ,геймдизайнер
161,169,Разработка Android-приложений на языке Kotlin  ,Автономная некоммерческая организация инновационного развития образования и науки «ФИРОН»,геймдизайнер
287,303,Разработка Android-приложений на языке Kotlin  ,Автономная некоммерческая организация инновационного развития образования и науки «ФИРОН»,геймдизайнер
80,85,Разработка мобильных приложений,      ГАПОУ РС(Я) «ЮЯТК»,геймдизайнер
195,207,Введение в Big Data: анализ естественного языка и взаимодействия пользователей   ,    Томский государственный университет  ,Образовательный дата-инженер
405,433,Цифровизация в государственном и муниципальном управлении: анализ и прогнозирование Big Data,ФГБОУ ВО «Ростовский государственный экономический университет (РИНХ)»,Образовательный дата-инженер
428,459,BIG DATA в вузе,"   АНО ДПО ""СофтЛайн Эдюкейшн""",Образовательный дата-инженер
58,61,BIG DATA в медицине,"   АНО ДПО ""СофтЛайн Эдюкейшн""",Образовательный дата-инженер
306,327,Big Data в сфере конфессионального взаимодействия,Бирский филиал федерального государственного бюджетного образовательного учреждения «Башкирский государственный университет»,Образовательный дата-инженер
